,human,zen,source
0,"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ","You are starting to think it’s time to do something about your weight, and you know exercise and eating a little better would help. But fitting it in, between school and work, seems almost impossible. The gym isn’t an option, and you can’t think of any friends who would work out with you. But it is something you are starting to think about.",University of Michigan Pair Dataset (HQ1)
1,I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,University of Michigan Pair Dataset (HQ1)
2,"Doctor x, I don’t want the Covid vaccine for me or my kids. They don’t know enough about how safe it is and what long term side effects it causes. It is not for me or my family. ","You are worried about long term effects from the vaccine that might not have been found, and don’t want to take that risk for you or your family.  You are trying to do the right thing and for now not getting vaccinated feels like the best thing for you and your family. ",University of Michigan Pair Dataset (HQ1)
3,I know I should probably get the vaccine. I have my mother living with me and she has type-2 diabetes. I would hate to bring it home to her. But I just don’t know about those side effects. I heard it changes your DNA and the vaccine can give you the virus.,"While you have some concerns about the vaccine, part of you feels it would  protect your mother and you don’t want to be responsible for her getting sick.  Sounds like finding answers to your questions about the safety of the vaccine might help you decide.    ",University of Michigan Pair Dataset (HQ1)
4,"I know because I am so heavy and have diabetes I probably should exercise more, but I am so busy. With the three kids and my new job I don’t see anywhere to fit it in. Plus, I hate the gym.  I can’t stand being around all that Lycra. My husband is useless because he already plays basketball four times a week.  ","Although part of you knows exercise might help you get control of your weight and your blood sugar, fitting it in seems almost impossible given how busy you are at home and at work. The gym turns you off and your husband doesn’t seem like he can be much help either.  But it is something you think could be good for you. ",University of Michigan Pair Dataset (HQ1)
5,"Of course, I would like to lose weight and not feel gross all the time. But I hate all the diets my mom puts me on. I’ve tried them all. Every time I end up feeling deprived and hungry. Then I gain all the weight back. I’m getting ready to give up.","You have tried a lot of things and put a lot of effort into this. But because the effects of these diets haven’t lasted and they just make you hungry, you are getting discouraged.",University of Michigan Pair Dataset (HQ1)
6,Of course I would like to lose weight. But I hate diets. I've tried them all. Every time I end up feeling deprived and hungry. Then I gain all the weight back. I’m getting ready to give up.,"Controlling your weight and improving your health are important to you. You have tried a lot of things and put a lot of effort into this. But because the effects of these diets haven’t lasted and they just make you hungry, you are getting discouraged.",University of Michigan Pair Dataset (HQ1)
7,"We eat at Wendy’s a few times a week. It’s cheap, fast, my kids like it, and it’s better than those other places.  There’s a lot worse we could be eating.  Sure, there are better foods than that, but I don’t have time to cook.","You know that there are better options than fast foods, but it tends to work out better for your schedule since it's fast. If you could find a way to get healthy foods into your kids quickly, it might be something you'd consider.  ",University of Michigan Pair Dataset (HQ1)
8,"I really need to find someone to exercise with. I can’t do it alone.  I just need someone to remind me or do it with me, but there is no one.","So, it’s interesting you have not mentioned your husband. I assume that he would not be helpful in any of this.",University of Michigan Pair Dataset (HQ1)
9,"Look at you, were you ever heavy? How can you really relate to me?",You’re concerned that if I have not struggled with my weight that I won’t be able to understand you or won’t be able to help you.,University of Michigan Pair Dataset (HQ1)
10,"I know I need to eat better.   But I live alone, I’m a lousy cook, and I have no time or interest to learn how.  Sure, McDonalds is poison but it’s fast and cheap and I’m not embarrassed to eat there alone.","You really wish you could find a way to eat healthier and get away from fast food, but you struggle because cooking for one is difficult.",University of Michigan Pair Dataset (HQ1)
11,"Yes, I know all that TV and all those video games are not good for her. By what can I do?  I cannot afford a babysitter and I must get my work done. I work out of my home.","You know that you can’t be the kind of employee you really want to be with your daughter at home. And while hiring a babysitter is off the table due to the cost, you’re starting to think about what other options there might be to keep her occupied besides tv.",University of Michigan Pair Dataset (HQ1)
12,"I really need to start exercising, but I hate the GYM. I joined the one nearby my house, but I never go. Everyone is so young and skinny; I hate those young girls in their little outfits. There is no way I would go there again, it was horrible.","Although you don’t want to go the gym by your house, there is a gym at work. But you didn’t mention that as an option so I’m assuming that wouldn’t be a great solution for you.",University of Michigan Pair Dataset (HQ1)
13,"I need to quit these damn cigarettes already. But I am so scared of the withdrawal, I am at a loss for what to do.","Well, given what you said earlier about drug companies and medications, I am assuming that a medication to help you with your withdrawal is probably not an option.",University of Michigan Pair Dataset (HQ1)
14,"I have tried every diet under the sun. To be honest Doc, I would love to lose weight but at this point I don't think I can do it. Maybe I need one of those stomach staples.",You’ve put a lot of effort into trying to lose weight. You’d really like to lose weight but haven’t found the right program that works for you quite yet.,University of Michigan Pair Dataset (HQ1)
15,"I have no energy.  The thought of working out now is out of the question.  I used to bike and play tennis but that seems a lifetime ago.  I would love to feel alive again, but I am just so tired all the time.",Getting back to regular physical activity is really appealing to you but also seems a bit out of reach. You’re excited to get back to a place where you feel invigorated again.,University of Michigan Pair Dataset (HQ1)
16,I've tried the Atkins diet and I lost a lot of weight. Then gained it all back. Then I tried the Zone diet but felt really hungry all the time. I just don't know what to do. I’m at my wit’s end.,"You have put a lot of effort into losing weight but it has not paid off. You are starting to feel a bit desperate. Diets don’t seem to work for you. You are looking for something different that might last.
",University of Michigan Pair Dataset (HQ1)
17,"I just hate to exercise. Was never good at sports in school.   I know I need to lose weight, but I am not going to the gym. It just isn't going to happen.",Sports and physical activity haven’t always come naturally to you. You’re starting to consider what it would take to lose a couple pounds but at this point going to the gym just isn’t an option for you.,University of Michigan Pair Dataset (HQ1)
18,"I start a diet every day but once I get hungry, I lose my discipline.",You really struggle to stick with your goals when you’re faced with temptation.,University of Michigan Pair Dataset (HQ1)
19,"Of course, I would like to lose weight. But I hate diets. I've tried  them all. Each time I feel deprived and  feel hungry. Then I start to feel resentful.","You have put a lot of effort into losing weight but it has not paid off. You are starting to feel a bit desperate. Diets don’t seem to work for you. You are looking for something different that might last
",University of Michigan Pair Dataset (HQ1)
20,"I’ve done everything I’m supposed to do in this program, but it still hasn’t worked.   I’m still gaining weight. I haven’t lost a damn pound in months.",You’re frustrated that the program hasn’t worked out for you the way that you had hoped it would.,University of Michigan Pair Dataset (HQ1)
21,I would do about anything to lose these 50lbs.  But dieting doesn't work for me. Could you tell me what drugs or even surgery might help?,You’re starting to think about other options for weight loss besides dieting. You’re curious about medications or surgical options.,University of Michigan Pair Dataset (HQ1)
22,I like fruit but I like sweets more. If it’s around I eat it but not if there is cake or cookies or ice cream. I guess I need to stop buying that crap.,"Sweets can be very tempting for you. If you could find a way to keep less sweets in the house, you might be more likely to reach for fruit or other healthier snacks. ",University of Michigan Pair Dataset (HQ1)
23,"I only eat a few vegetables. Corn, raw carrots, peas, and potatoes. Not much into those slimy ones like okra, cooked peppers, and onions. Ugh! They have to be crunchy, or I get grossed out.",You know your preferences and you’ve already found quite a few vegetables that you prefer.,University of Michigan Pair Dataset (HQ1)
24,"My wife does most of the cooking. But I do the shopping. If I buy vegetables, she will cook them.","You and your wife work as a team. If you stock up on healthy foods when you do the grocery shopping, then she’ll make sure that they end up in the meals that you both eat. ",University of Michigan Pair Dataset (HQ1)
25,"I buy fruit. But it sits in the bowl and rots. I hate having to throw out that rotten, mushy mess. It’s such a waste.","You’ve already figured out a way to get fruit into the house. Now, if you could find a way to work that fruit into your daily snacks and meals, you wouldn’t end up having so much go to waste. ",University of Michigan Pair Dataset (HQ1)
26,"I’m on a tight budget and fresh fruit just costs so much.  Vegetables are a little less expensive, but you have to cook them. Fruit you can just eat.","Your food budget prevents you from buying the fresh food you’d like. You’re frustrated that the healthy foods you’d like to purchase are outside your budget. If you could find a way to fit fresh fruit into your food budget, you’d be able to eat more servings a day.",University of Michigan Pair Dataset (HQ1)
27,"I live alone and don’t cook much. Veggies take so much time and effort to prepare. So, when I go out to eat, which is 4-5 times a week, I try to order veggies.",You really put in a lot of effort when you eat out to make sure that you get in a couple servings of veggies.,University of Michigan Pair Dataset (HQ1)
28,"My child cannot participate in the program because I work two jobs, my other kids are struggling in school. We are just too busy.",Your chaotic schedule makes it hard to even consider adding something else to your plate.,University of Michigan Pair Dataset (HQ1)
29,"We have done everything that we are supposed to do in this program, but it still hasn’t worked.   My daughter is still gaining weight.",You’ve really committed yourself to the program and you’ve put in a lot of effort to help your daughter with her weight. You’re feeling let down that so far the program hasn’t helped your daughter lose weight.,University of Michigan Pair Dataset (HQ1)
30,Why bother? The other family in our house won’t put a TV timer on their TV and our kids just go to the living room to watch with them.,Sharing living space and trying to set boundaries at the same time can seem nearly impossible when the other family isn’t on the same page.,University of Michigan Pair Dataset (HQ1)
31,"The food at school breakfast and lunch are all red lights, so it is hard for her to follow the diet.","If you could find a way to get healthy food to your daughter at school, it would be something you might consider. ",University of Michigan Pair Dataset (HQ1)
32,"My husband won’t support the program, he wants whole milk because it is healthier and tastes better and wants our son to have it so he grows to be strong.","Your husband feels strongly that whole milk is the way to go. If you could find a way to get your husband on board with 1% or skim milk, things might be a bit different. ",University of Michigan Pair Dataset (HQ1)
33,"Every time I bring up my daughter's weight with her, it leads to a fight. She tells me to get off her case. Then my husband tells me to back off and let her be. “She’ll grow out of it”, he says. But I think it’s important to do something about it now, before it’s too late.",You feel trapped between you desire to help her and your husband telling you it is not a big problem.,University of Michigan Pair Dataset (HQ1)
34,"It breaks my heart to see her so heavy. I know what it’s like to be a big teenager. It was terrible for me. I want to bring it up but I don’t want to hurt her feelings. I tell her that she looks fine, but at the same time I know she is way too big for her age.",Being overweight as a teen was horrible for you and you want to save your daughter from that suffering (or same fate).,University of Michigan Pair Dataset (HQ1)
35,"I can’t stand how much TV she watches. When I leave for work, she is watching talk shows. When she comes home from school more talk shows. I think she is frying her brain and wasting her talent. I don’t know what to do about it.  I wish I could get her to be more active or to be involved in something more positive.","You had great expectations for your daughter, but you see that slipping away. You think TV as a real waste for her. You feel you are letting her down by not getting her away from the TV.",University of Michigan Pair Dataset (HQ1)
36,"My son’s problem is sweets. He loves candy, cake and ice cream. He won’t eat any regular food and I feel so bad that he is hungry that I usually give in and let him have junk food, just so he gets something into his system.","You and your son are having a battle about food, and he seems to be winning. You are disappointed in yourself that you give in to his demands. ",University of Michigan Pair Dataset (HQ1)
37,"There is no way that I can let my son leave food on his plate and throw food out. I wasn’t raised that way. I also don’t think kids need choice about how much they eat, kids are given too much power in my opinion already. I am tired of the constant battle we have at mealtimes and all the tricks we need to pull off to get him to eat something, but letting him leave the table hungry, and taking away French fries and HI-c are going to be very stressful.",You feel strongly that you should be the main decision maker in what and how much your son eats. On one hand you like to make the decision but on the other hand you’re aware that if he isn’t allowed any input it leads to battles at mealtime.,University of Michigan Pair Dataset (HQ1)
38,"I eat at Wendy’s a few times a week. It’s cheap, it’s fast, and it’s better than those other places. There’s a lot worse I could be eating. My parents don’t buy healthy foods, and I don’t have the money to buy them.","Because there aren’t a lot of healthy foods in your house and money is tight, it makes it hard to eat better. So fast food is one of your only options. However, you care about your health and are starting to think about eating better than fast food.",University of Michigan Pair Dataset (HQ1)
39,I am so tired of my parents bugging me about my weight. They always comment on everything I eat. It is so annoying. I will deal with this my way.,"You don’t like the way your parents talk to you about your weight. They seem to be watching everything you eat, and you feel they are judging you. Part of you is interested in perhaps doing something about your weight, but you want to do it on your own terms.",University of Michigan Pair Dataset (HQ1)
40,Vaping isn’t nearly as bad as cigarettes. It doesn’t cause cancer. Everyone does it. It’s no big deal.,"You don’t think vaping is as toxic to your body as cigarettes, so you don't think it's necessary for you to quit it.",University of Michigan Pair Dataset (HQ1)
41,"Chewing is so much better than cigarettes. You can do it while you work. I know it isn’t great for me, but I need the little buzz to keep me alert.",You’ve heard that chewing tobacco isn’t great for you but the buzz you get from the nicotine helps you get through the day.,University of Michigan Pair Dataset (HQ1)
42,I am just not going to give up my iqmik.  I already gave up cigarettes and alcohol.   We make it ourselves and we know what goes into it.  Everyone wants to take away everything that helps me cope with my stress.  And sweetie I got lots of stress.,Iqmik is the last crutch you have to deal with your stress and giving it up or cutting back is out of the question.,University of Michigan Pair Dataset (HQ1)
43,"Of course, I have to quit at some point, but now is just not the time. I know what it’s like to go through the withdrawal and it’s pretty awful. I was able to quit a few years ago, with the help of that gum, but with my wife losing her job and having to work so much overtime, I don’t think I have the energy to deal with it right now.","Cigarettes are something that eventually you're going to give up for good. It's not a question of IF you'll quit, the question is more about WHEN you'll quit. ",University of Michigan Pair Dataset (HQ1)
44,Why should I quit? I am in good shape. I play soccer. I am thin. My father smoked until he was 80. Most of my mates smoke and no one has died from it. I don’t believe its as bad as you all say.,You see no benefit in quitting whatsoever. You are worried I am going to exaggerate things in order to try and get you to quit.,University of Michigan Pair Dataset (HQ1)
45,"Maybe it’s time to quit. I am 55, my dad died of heart disease, and I am coughing up all this junk every morning.","Given you are coughing up all that stuff, you are starting to get worried that maybe what happened to your dad could happen to you.",University of Michigan Pair Dataset (HQ1)
46,I don’t know why people who never smoked keep bugging me to quit.  My doctor has no idea  how hard it is to even try quitting. I’ve tried to quit many times but can’t even go two days.  No one knows how hard it is to give it up out of the blue.,Quitting cold turkey has not worked for you in the past. It is upsetting to you that you can’t just quit smoking.,University of Michigan Pair Dataset (HQ1)
47,"I am still working, as I am the sole bread winner in the family – my husband is unemployed. We have another child who is a toddler, and things are hard financially. And sometimes, I get very angry and upset so smoking helps me calm down. I sometimes feel it is all I have left.",The weight of your family and the family finances are all on your shoulders.,University of Michigan Pair Dataset (HQ1)
